"Nome","Link"
"Ryo Kase","https://en.wikipedia.org/wiki/Ryo_Kase"
"Meijin (shogi)","https://en.wikipedia.org/wiki/Meijin_(shogi)"
"Ryo Kase","https://en.wikipedia.org/wiki/Ryo_Kase"
"Subaru Kimura","https://en.wikipedia.org/wiki/Subaru_Kimura"
"Doug Erholtz","https://en.wikipedia.org/wiki/Doug_Erholtz"
"Hiroyuki Onoue","https://en.wikipedia.org/wiki/Hiroyuki_Onoue"
"Tomokazu Sugita","https://en.wikipedia.org/wiki/Tomokazu_Sugita"
"Robbie Daymond","https://en.wikipedia.org/wiki/Robbie_Daymond"
"Tomoya Nakamura","https://en.wikipedia.org/wiki/Tomoya_Nakamura"
"Yuichi Nakamura (voice actor)","https://en.wikipedia.org/wiki/Yuichi_Nakamura_(voice_actor)"
"Xander Mobus","https://en.wikipedia.org/wiki/Xander_Mobus"
"Kazuo Oka","https://en.wikipedia.org/wiki/Kazuo_Oka"
"Steve Kramer (actor)","https://en.wikipedia.org/wiki/Steve_Kramer_(actor)"
"Fukushima Prefecture","https://en.wikipedia.org/wiki/Fukushima_Prefecture"
"Mitsuo Iwata","https://en.wikipedia.org/wiki/Mitsuo_Iwata"
"Akio Ōtsuka","https://en.wikipedia.org/wiki/Akio_%C5%8Ctsuka"
"Jamieson Price","https://en.wikipedia.org/wiki/Jamieson_Price"
"Edit section: Other characters","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=6"
"Yoshimasa Hosoya","https://en.wikipedia.org/wiki/Yoshimasa_Hosoya"
"Shikoku","https://en.wikipedia.org/wiki/Shikoku"
"High school baseball in Japan","https://en.wikipedia.org/wiki/High_school_baseball_in_Japan"
"Shigeru Chiba","https://en.wikipedia.org/wiki/Shigeru_Chiba"
"Wagashi","https://en.wikipedia.org/wiki/Wagashi"
"Yōji Ueda","https://en.wikipedia.org/wiki/Y%C5%8Dji_Ueda"
"Doug Stone (voice actor)","https://en.wikipedia.org/wiki/Doug_Stone_(voice_actor)"
"Takahiro Sakurai","https://en.wikipedia.org/wiki/Takahiro_Sakurai"
"Keith Silverstein","https://en.wikipedia.org/wiki/Keith_Silverstein"
"Michiko Neya","https://en.wikipedia.org/wiki/Michiko_Neya"
"Wendee Lee","https://en.wikipedia.org/wiki/Wendee_Lee"
"Yūji Ueda","https://en.wikipedia.org/wiki/Y%C5%ABji_Ueda"
"Arnie Pantoja","https://en.wikipedia.org/wiki/Arnie_Pantoja"
"Edit section: Media","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=7"
"Edit section: Manga","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=8"
"Hakusensha","https://en.wikipedia.org/wiki/Hakusensha"
"Young Animal (magazine)","https://en.wikipedia.org/wiki/Young_Animal_(magazine)"
"Tankōbon","https://en.wikipedia.org/wiki/Tank%C5%8Dbon"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214511-0","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214511-0"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214512-7","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214512-7"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214513-4","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214513-4"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214514-1","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214514-1"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214515-8","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214515-8"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214516-5","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214516-5"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214517-2","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214517-2"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214518-9","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214518-9"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214519-6","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214519-6"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214520-2","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214520-2"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214521-9","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214521-9"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214522-6","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214522-6"
"International Standard Book Number","https://en.wikipedia.org/wiki/International_Standard_Book_Number"
"Special:BookSources/978-4-59-214523-3","https://en.wikipedia.org/wiki/Special:BookSources/978-4-59-214523-3"
"Edit section: Anime","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=9"
"List of March Comes in Like a Lion episodes","https://en.wikipedia.org/wiki/List_of_March_Comes_in_Like_a_Lion_episodes"
"Anime","https://en.wikipedia.org/wiki/Anime"
"Young Animal (magazine)","https://en.wikipedia.org/wiki/Young_Animal_(magazine)"
"Shaft (company)","https://en.wikipedia.org/wiki/Shaft_(company)"
"Akiyuki Shinbo","https://en.wikipedia.org/wiki/Akiyuki_Shinbo"
"Yukari Hashimoto","https://en.wikipedia.org/wiki/Yukari_Hashimoto"
"Bump of Chicken","https://en.wikipedia.org/wiki/Bump_of_Chicken"
"Yuki (singer)","https://en.wikipedia.org/wiki/Yuki_(singer)"
